update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
15,1080822,1080822,3037,37,1024,0.2649023437500004,4.0844244956970215,0.240028977394104,-0.0024295320035889745,0.5378210321068764,0.3328207675367594,0.0032962444129225332,0.013671875,0.92343954386948,0.05,9,157,0,0.1103515625,0.1181640625,0.1240234375,0.0927734375,0.419921875,0.134765625
16,1081846,1081846,3040,40,1024,0.2766699218750005,4.559962272644043,0.029040146619081497,-0.004710363165941089,0.3643068168312311,0.3813109826296568,0.004955827217600017,0.068359375,0.9544040587872791,0.05,15,152,0,0.103515625,0.115234375,0.1171875,0.099609375,0.4296875,0.134765625
17,1082870,1082870,3042,42,1024,0.21373046875000043,3.3792219161987305,-0.22209545969963074,-0.0007469631964340806,0.24234770610928535,0.39507765509188175,0.0029626119940076023,0.010498046875,0.9486474846060317,0.05,7,135,0,0.1123046875,0.1337890625,0.1240234375,0.1064453125,0.390625,0.1328125
18,1083894,1083894,3045,45,1024,0.20914062500000039,3.532646656036377,0.003115179017186165,-0.005099798960145563,0.31141529232263565,0.3816161844879389,0.0031377370323752984,0.043212890625,0.9143284252182952,0.05,9,133,0,0.11328125,0.1142578125,0.1162109375,0.107421875,0.4169921875,0.1318359375
19,1084918,1084918,3047,47,1024,0.2449804687500004,4.2074689865112305,-0.051908545196056366,-0.0020854095928370953,0.3465473335236311,0.40582120791077614,0.0016321595139743295,0.03759765625,0.9295744798818127,0.05,15,172,0,0.1162109375,0.1171875,0.146484375,0.1123046875,0.375,0.1328125
20,1085727,1085727,3050,50,809,0.26601977750309075,4.246185302734375,-0.06241272762417793,-0.01955866883508861,0.37564266845583916,0.376809312030673,-0.0011828130118374247,0.02343154512345791,0.9294617611228018,0.05,6,73,0,0.11990111248454882,0.11372064276885044,0.11495673671199011,0.09765142150803462,0.4177997527812114,0.13597033374536466
21,1086751,1086751,3052,52,1024,0.22706054687500038,4.1150922775268555,-0.2845032811164856,0.0009996929438784719,0.3965484984219074,0.474035894498229,0.001778712843588437,0.029541015625,0.9044925973544179,0.05,10,143,0,0.1337890625,0.130859375,0.1435546875,0.1064453125,0.3515625,0.1337890625
22,1087775,1087775,3055,55,1024,0.24751953125000045,3.945870876312256,-0.10615982115268707,-0.005372624902520329,0.19801613502204418,0.40421949699521065,0.0034446879544702824,0.031005859375,0.9625911194815261,0.05,8,117,0,0.1279296875,0.11328125,0.1318359375,0.1025390625,0.3896484375,0.134765625
23,1088799,1088799,3057,57,1024,0.28868164062500046,5.151522159576416,0.15629605948925018,-0.0036277793697081506,0.3343191947788,0.38114363327622414,0.0008730108093004674,0.02587890625,0.9703741194727913,0.05,14,162,0,0.109375,0.1103515625,0.1328125,0.1103515625,0.40234375,0.134765625
24,1089823,1089823,3060,60,1024,0.25923828125000037,4.076737403869629,-0.1589977741241455,-0.0002558121632318944,0.22923337947577238,0.3791492059826851,0.002270648896228522,0.01513671875,0.968630879868909,0.05,10,154,0,0.0986328125,0.1298828125,0.1259765625,0.1064453125,0.40234375,0.13671875
25,1090847,1090847,3062,62,1024,0.2539648437500005,4.39518928527832,-0.07728322595357895,-0.004058573627844453,0.15210052579641342,0.3625355754047632,0.0030769036548008444,0.01611328125,0.9725989059596258,0.05,7,116,0,0.119140625,0.1162109375,0.1328125,0.099609375,0.3974609375,0.134765625
26,1091871,1091871,3065,65,1024,0.2688574218750005,4.377131938934326,0.13360674679279327,-0.0031868965015746653,0.3746212562546134,0.36759606562554836,0.0010027845310105477,0.015625,0.934023557950134,0.05,8,106,0,0.1357421875,0.12109375,0.1337890625,0.095703125,0.376953125,0.13671875
27,1092895,1092895,3067,67,1024,0.27007812500000045,4.591549873352051,0.0643022432923317,-0.00443627341883257,0.3756182938814163,0.3586628008633852,0.0002681730438780505,0.03759765625,0.9396939769476277,0.05,10,111,0,0.12109375,0.0986328125,0.1494140625,0.103515625,0.388671875,0.138671875
28,1093919,1093919,3070,70,1024,0.25054687500000045,4.101912975311279,-0.07189296185970306,-0.003460844629444182,0.42335725016891956,0.3922251481562853,0.001019879422528902,0.024169921875,0.9232763415950556,0.05,7,131,0,0.1279296875,0.130859375,0.1533203125,0.1162109375,0.3359375,0.1357421875
29,1094943,1094943,3072,72,1024,0.24473632812500054,4.391223907470703,-0.12239320576190948,-0.003334719454869628,0.16700309421867132,0.42092460207641125,6.526006836793385e-05,0.0234375,0.9606867495477873,0.05,2,43,0,0.1455078125,0.1005859375,0.14453125,0.1025390625,0.3740234375,0.1328125
30,1095752,1095752,3075,75,809,0.2964894932014837,5.048558235168457,0.21289688348770142,-0.005042931028583553,0.2810096461325884,0.38991563580930233,0.0014961613887862768,0.008908155374228954,0.971483318653884,0.05,6,97,0,0.11495673671199011,0.11495673671199011,0.14833127317676142,0.11742892459826947,0.3720642768850433,0.13226205191594562
31,1096776,1096776,3077,77,1024,0.26504882812500047,4.863568305969238,0.1774696707725525,-0.005707660457119346,0.259060638025403,0.39491808600723743,0.005760191483204835,0.05517578125,0.9657793181388719,0.05,7,116,0,0.1259765625,0.125,0.1376953125,0.125,0.3505859375,0.1357421875
