update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,kills,self_kills,deaths,action_up,action_right,action_down,action_left,action_wait,action_bomb
288,2808709,2808709,7896,896,1024,0.3834570312500005,13.889863014221191,-0.5812557339668274,-0.0014793611480854452,3.555929556488991,0.34548270888626575,0.00237392994313268,0.018798828125,0.9098065121998681,0.05,10,123,0,0,1,0.251953125,0.1923828125,0.2373046875,0.1787109375,0.0234375,0.1162109375
289,2809683,2809683,7900,900,974,0.5955441478439429,18.342735290527344,0.18034681677818298,-0.005220506456680596,6.327582091093063,0.42390420101583004,0.005533811032819358,0.05115575762465596,0.8625419454673047,0.05,14,177,0,3,3,0.21765913757700206,0.22484599589322382,0.21868583162217659,0.19609856262833675,0.02053388090349076,0.12217659137577003
290,2810707,2810707,7902,902,1024,0.44932617187500046,15.532179832458496,0.25905221700668335,-0.0020346869132481515,3.936676800251007,0.33116141334176064,0.0018556734030426014,0.028564453125,0.9085544253151545,0.05,13,147,0,1,1,0.20703125,0.22265625,0.2109375,0.2158203125,0.015625,0.1279296875
291,2811731,2811731,7905,905,1024,0.3370214843750005,13.083106994628906,-0.06707514822483063,-0.002203832846134901,3.279463082551956,0.28534422256052494,0.006296976626799733,0.0302734375,0.8930549932720102,0.05,12,118,1,0,0,0.263671875,0.1650390625,0.25390625,0.1787109375,0.0126953125,0.1259765625
292,2812755,2812755,7907,907,1024,0.6118261718750004,18.110015869140625,-0.20576351881027222,-0.0018219449557363987,4.811393931508064,0.458454467356205,0.0007069715557008749,0.033203125,0.8719661303515764,0.05,11,139,0,1,1,0.220703125,0.220703125,0.2197265625,0.1904296875,0.0244140625,0.1240234375
293,2813779,2813779,7911,911,1024,0.31060546875000045,11.817410469055176,-0.5137121677398682,-0.00045976077672094107,4.124448791146278,0.21252150926738977,0.002212286030044197,0.010498046875,0.8823022013278399,0.05,13,135,0,1,1,0.21484375,0.216796875,0.208984375,0.2119140625,0.0185546875,0.12890625
294,2814803,2814803,7914,914,1024,0.35093750000000057,14.086788177490234,0.9492649435997009,-0.0007747485069558024,5.282282158732414,0.21587637439370155,0.0005417652646428905,0.028564453125,0.8455647596225878,0.05,12,123,1,1,1,0.1884765625,0.2373046875,0.2080078125,0.216796875,0.015625,0.1337890625
295,2815827,2815827,7918,918,1024,0.5548437500000003,16.497983932495117,-0.6308726668357849,-0.001432108401786536,5.784615397453308,0.38856910914182663,0.0013139713773853146,0.004638671875,0.9103313842895566,0.05,12,153,0,2,3,0.1708984375,0.2470703125,0.185546875,0.2373046875,0.02734375,0.1318359375
296,2816851,2816851,7920,920,1024,0.4885351562500004,15.780847549438477,0.3992481231689453,-0.0017759718466550112,3.5649204552173615,0.300661901012063,-0.001424696393769409,0.006103515625,0.9292980105079002,0.05,11,161,0,0,0,0.23046875,0.1904296875,0.2373046875,0.197265625,0.01171875,0.1328125
297,2817875,2817875,7923,923,1024,0.37842773437500055,14.291019439697266,0.6438347101211548,0.00046252645552158356,4.257311463356018,0.26812823954969645,0.004794467797182733,0.03271484375,0.8887339780040345,0.05,10,140,0,0,0,0.216796875,0.2265625,0.2021484375,0.2080078125,0.013671875,0.1328125
298,2818360,2818360,7925,925,485,0.32742268041237166,13.195013046264648,-0.7500905990600586,-0.002341749051993247,7.31055611371994,0.25811284966766834,0.0006315073701443907,0.0026716873981058598,0.824106679138144,0.05,6,38,0,1,1,0.2515463917525773,0.16082474226804125,0.2639175257731959,0.1731958762886598,0.02268041237113402,0.12783505154639174
299,2819384,2819384,7928,928,1024,0.3277929687500004,12.422603607177734,-0.5075526833534241,0.0005051123443990946,6.608341872692108,0.24397173523902893,0.0015789252556714928,0.043212890625,0.8552474265078732,0.05,18,204,0,2,2,0.1943359375,0.2412109375,0.216796875,0.1953125,0.01953125,0.1328125
300,2820408,2820408,7931,931,1024,0.37413085937500046,13.525741577148438,0.16090905666351318,-0.001749499439029023,2.826151520013809,0.2868452984839678,0.002086434646116686,0.0283203125,0.9270296759351628,0.05,9,106,1,0,0,0.205078125,0.2109375,0.2236328125,0.2099609375,0.0224609375,0.1279296875
301,2821432,2821432,7934,934,1024,0.5523046875000006,17.5389404296875,0.6258754730224609,-0.0009500508895143867,3.7498157620429993,0.4186168387532234,0.004254885821865173,0.039306640625,0.9108030506025784,0.05,9,120,0,1,1,0.2197265625,0.1982421875,0.2265625,0.2060546875,0.025390625,0.1240234375
302,2822456,2822456,7937,937,1024,0.5121191406250006,17.20628547668457,-0.021205898374319077,-0.001564692473039031,6.600003689527512,0.3410558458417654,0.0020285299033275805,0.014404296875,0.8473073812016754,0.05,14,170,0,2,2,0.189453125,0.2314453125,0.1826171875,0.2451171875,0.0234375,0.1279296875
