update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,entropy_coefficient,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
51,314826,314826,1127,127,1024,0.19981445312500018,2.52532958984375,-0.040799736976623535,-0.004421756369993091,0.2586428252980113,0.22905028332024813,0.002834443484971416,0.015869140625,0.8862409201571267,0.02,60,185,0,0.1044921875,0.2919921875,0.1064453125,0.330078125,0.11328125,0.0537109375
52,315850,315850,1130,130,1024,0.22037109375000025,2.666294574737549,-0.06102319061756134,-0.0024798125959932804,0.4122222736477852,0.21857252717018127,0.001675288060141611,0.01171875,0.7915631832452885,0.02,69,173,0,0.103515625,0.302734375,0.126953125,0.3173828125,0.09765625,0.0517578125
53,316874,316874,1132,132,1024,0.2131445312500002,2.6113195419311523,-0.019632015377283096,-0.000813791761174798,0.3928452953696251,0.22194363921880722,0.0011583096957110683,0.003662109375,0.8370603557466614,0.02,70,180,0,0.138671875,0.265625,0.1376953125,0.291015625,0.1044921875,0.0625
54,317898,317898,1135,135,1024,0.23428710937500022,2.9350287914276123,0.000727534294128418,-0.002957278920803219,0.4567232169210911,0.2229436757043004,0.002935576962045161,0.020751953125,0.8553216510468641,0.02,67,170,0,0.1201171875,0.3115234375,0.1123046875,0.314453125,0.091796875,0.0498046875
55,318922,318922,1137,137,1024,0.22505859375000017,2.7052388191223145,0.16631677746772766,-0.0021401012782007456,0.4023243524134159,0.20722306333482265,0.001052314893968287,0.0107421875,0.8150509119819804,0.02,79,190,0,0.119140625,0.3046875,0.134765625,0.3017578125,0.087890625,0.0517578125
56,319946,319946,1140,140,1024,0.19390625000000017,2.406785488128662,0.07274353504180908,-0.0033123347675427794,0.29227829445153475,0.19442502409219742,0.0018397032908978872,0.016845703125,0.7610092468368722,0.02,64,171,0,0.0810546875,0.34765625,0.0830078125,0.3515625,0.091796875,0.044921875
57,320970,320970,1142,142,1024,0.23477539062500022,2.6953513622283936,-0.12009741365909576,-0.002624092740006745,0.445105480030179,0.238519667647779,0.0024395884393015876,0.0107421875,0.8512335785490533,0.02,83,215,0,0.126953125,0.2666015625,0.142578125,0.2685546875,0.1298828125,0.0654296875
58,321994,321994,1145,145,1024,0.17603515625000016,2.3068346977233887,0.01953195221722126,-0.002991837274748832,0.2207733727991581,0.1791814947500825,0.002402370987510949,0.011474609375,0.8807977638187441,0.02,42,108,0,0.0771484375,0.390625,0.0576171875,0.3837890625,0.0595703125,0.03125
59,323018,323018,1147,147,1024,0.2357031250000003,3.3091742992401123,0.04475542902946472,-0.0019622156978584826,0.36668213084340096,0.19590400997549295,0.0022125800169305876,0.0126953125,0.8776692946541156,0.02,61,148,0,0.0908203125,0.326171875,0.0986328125,0.3359375,0.1044921875,0.0439453125
60,323827,323827,1150,150,809,0.1830778739184181,2.4393911361694336,-0.06125880405306816,-0.0011387332924641669,0.3033204525709152,0.2106993505731225,0.002224251518782694,0.013421779498457909,0.7322934611772496,0.02,36,98,0,0.059332509270704575,0.3646477132262052,0.07169344870210136,0.3757725587144623,0.08899876390605686,0.03955500618046971
61,324851,324851,1152,152,1024,0.19332031250000017,2.2804529666900635,-0.033499930053949356,-0.0038990345783531666,0.28265860956162214,0.18633067328482866,0.0008825766708469018,0.024169921875,0.7879439160288159,0.02,71,169,0,0.0869140625,0.32421875,0.1162109375,0.3232421875,0.09765625,0.0517578125
62,325875,325875,1155,155,1024,0.23262695312500026,3.0954489707946777,0.11512617766857147,-0.003432188997976482,0.3130013681948185,0.18291497696191072,0.0016486717740917811,0.01416015625,0.8898182196101566,0.02,67,172,0,0.08203125,0.30859375,0.1103515625,0.3359375,0.1142578125,0.048828125
63,326899,326899,1157,157,1024,0.14722656250000027,2.3518764972686768,-0.04700370132923126,-0.0015783788403496146,0.14895851537585258,0.169799760915339,0.0007416193075187039,0.003662109375,0.8269867590520208,0.02,23,59,0,0.0341796875,0.421875,0.0361328125,0.42578125,0.0595703125,0.0224609375
64,327923,327923,1160,160,1024,0.16734375000000032,2.5493197441101074,0.01913037896156311,-0.0016759269055910408,0.12221378600224853,0.11432385537773371,0.0034881673964264337,0.01416015625,0.8757946835379478,0.02,25,77,0,0.044921875,0.3994140625,0.0400390625,0.408203125,0.078125,0.029296875
65,328947,328947,1162,162,1024,0.24551757812500025,2.88330340385437,0.19144019484519958,-0.0019376479322090745,0.4029285926371813,0.17586325202137232,0.0006886312403366901,0.01171875,0.8532442054999587,0.02,92,214,0,0.1279296875,0.2626953125,0.140625,0.2939453125,0.111328125,0.0634765625
66,329971,329971,1165,165,1024,0.22364257812500016,2.739318370819092,0.08599275350570679,-0.001215862634126097,0.45791651494801044,0.16655356530100107,0.0009989429454435594,0.007080078125,0.8730726364262773,0.02,71,174,0,0.1044921875,0.306640625,0.1083984375,0.32421875,0.10546875,0.05078125
67,330995,330995,1167,167,1024,0.22891601562500025,2.7706990242004395,-0.13663700222969055,-0.0018152392003685236,0.37880004942417145,0.18547485303133726,0.0027971518557023956,0.015380859375,0.870121636524005,0.02,68,183,0,0.109375,0.294921875,0.111328125,0.3291015625,0.1044921875,0.05078125
68,332019,332019,1170,170,1024,0.17164062500000016,2.2122392654418945,-0.04918832331895828,-0.004428034415468574,0.24520316999405622,0.19174363370984793,0.0017263461486436427,0.02197265625,0.8043747673822365,0.02,47,111,0,0.0537109375,0.3779296875,0.0625,0.3798828125,0.087890625,0.0380859375
69,333043,333043,1172,172,1024,0.19800781250000024,2.393758535385132,-0.2288532555103302,-0.002223170828074217,0.5003385916352272,0.16556196380406618,-0.0002467844824423082,0.011962890625,0.7553520032565819,0.02,49,143,0,0.0888671875,0.33203125,0.0947265625,0.3466796875,0.08984375,0.0478515625
70,333852,333852,1175,175,809,0.16268232385661327,1.9790358543395996,0.13041482865810394,-0.008837802102789283,0.2046143664047122,0.16418857732787728,0.005080359973362647,0.020805544685572386,0.7409315178256102,0.02,36,81,0,0.05315203955500618,0.3967861557478368,0.06056860321384425,0.3930778739184178,0.06674907292954264,0.029666254635352288
