update,total_steps,optimized_steps,training_round,stage_training_round,rollout_size,reward_mean,return_mean,advantage_mean,policy_loss,value_loss,entropy,approximate_kl,clip_fraction,explained_variance,coins,crates,self_kills,action_up,action_right,action_down,action_left,action_wait,action_bomb
83,80155,80155,304,304,1024,0.2385351562500001,0.06116397678852081,-0.1259353905916214,-0.00019698648247867823,0.5056578405201435,0.2906080950051546,-0.00033431144402129576,0.0,0.4719938909899375,251,0,0,0.349609375,0.1396484375,0.3525390625,0.1435546875,0.013671875,0.0009765625
84,81179,81179,309,309,1024,0.19830078125000003,0.10556329786777496,0.09390465915203094,-0.0014567103353329003,0.39537704549729824,0.21547368075698614,0.0011099798721261322,0.006103515625,0.5157513375170293,208,0,0,0.3662109375,0.1044921875,0.3896484375,0.123046875,0.013671875,0.0029296875
85,82203,82203,313,313,1024,0.19288085937500005,-0.02062712237238884,-0.07983970642089844,-0.0016599437803961337,0.3321578651666641,0.23761331290006638,0.0014421406012843363,0.005615234375,0.5674626755609924,204,0,0,0.3564453125,0.107421875,0.3798828125,0.1376953125,0.0166015625,0.001953125
86,83227,83227,319,319,1024,0.2923925781250001,0.31093016266822815,0.15607032179832458,-0.0013593273470178246,0.5483575444668531,0.20882712863385677,-0.00040246832941193134,0.010986328125,0.5174934727209786,304,0,0,0.3291015625,0.1435546875,0.33203125,0.1884765625,0.0068359375,0.0
87,84251,84251,323,323,1024,0.22945312500000006,-0.007777102291584015,-0.14879640936851501,-0.0006165636004880071,0.42413220182061195,0.22714629676193,0.0018001804419327527,0.012451171875,0.5284159266416819,241,0,0,0.3349609375,0.12890625,0.369140625,0.1435546875,0.01953125,0.00390625
88,84835,84835,325,325,584,0.07707191780821918,-0.17508845031261444,0.16189788281917572,-0.002153867312396566,0.13422214798629284,0.3080035125215848,0.0009387217263186661,0.02806712966412306,0.716120310909838,49,0,0,0.4434931506849315,0.03424657534246575,0.4657534246575342,0.05136986301369863,0.005136986301369863,0.0
89,85859,85859,329,329,1024,0.23472656250000004,0.2970396876335144,0.14967577159404755,-0.0011118057882413268,0.46420551277697086,0.24923550244420767,0.0018531685273046605,0.01220703125,0.5441253481930886,247,0,0,0.3779296875,0.130859375,0.353515625,0.125,0.01171875,0.0009765625
90,86883,86883,333,333,1024,0.19048828125000006,-0.13229112327098846,-0.3094387650489807,-0.00016850989777594805,0.44596257247030735,0.21779872477054596,-5.8194440498482436e-05,0.00927734375,0.48471352326176487,201,0,0,0.353515625,0.119140625,0.3818359375,0.12890625,0.013671875,0.0029296875
91,87907,87907,336,336,1024,0.08790039062500002,-0.24577420949935913,0.11827576160430908,-0.0010693434160202742,0.20238209888339043,0.22971040569245815,6.807956378906965e-05,0.01513671875,0.5593814412283126,97,0,0,0.4462890625,0.0517578125,0.4365234375,0.0615234375,0.0029296875,0.0009765625
92,88931,88931,339,339,1024,0.18086914062500004,0.10177381336688995,0.2882481813430786,-0.0018235070747323334,0.33525538444519043,0.18890823144465685,0.0009214974925271235,0.006591796875,0.6140329989516655,192,0,0,0.3837890625,0.091796875,0.404296875,0.11328125,0.0048828125,0.001953125
93,89955,89955,342,342,1024,0.14302734375000004,-0.07821419090032578,-0.09979340434074402,-0.0014671148965135217,0.2391432197764516,0.18606957234442234,0.0010922510409727693,0.006103515625,0.5822832102391533,154,0,0,0.419921875,0.07421875,0.412109375,0.087890625,0.005859375,0.0
